,0,1,2,3,4,5,6,7,8,9,10
160,np_exp,2,1,2,1,1,500,500,494,492,178
161,np_exp,2,1,3,1,1,500,500,499,497,167
162,np_exp,2,2,1,1,1,500,8,2,2,2
163,np_exp,2,2,2,1,1,500,500,451,445,144
164,np_exp,2,2,3,1,1,500,500,463,459,145
165,np_exp,2,3,1,1,1,500,305,155,143,18
166,np_exp,2,3,2,1,1,500,500,477,476,161
167,np_exp,2,3,3,1,1,500,500,481,477,150
168,np_exp,3,1,1,1,1,500,368,227,227,56
169,np_exp,3,1,1,1,2,500,0,0,0,0
170,np_floor,2,1,2,1,1,500,500,499,497,151
171,np_floor,2,1,3,1,1,500,500,497,495,151
172,np_floor,2,2,1,1,1,500,0,0,0,0
173,np_floor,2,2,2,1,1,500,500,436,435,118
174,np_floor,2,2,3,1,1,500,500,453,453,130
175,np_floor,2,3,1,1,1,500,0,0,0,0
176,np_floor,2,3,2,1,1,500,500,451,449,111
177,np_floor,2,3,3,1,1,500,500,451,449,107
178,np_floor,3,1,1,1,1,500,187,45,45,31
179,np_floor,3,1,1,1,2,500,12,0,0,0
180,np_hypot,2,1,2,1,1,500,500,494,494,403
181,np_hypot,2,1,3,1,1,500,500,497,497,400
182,np_hypot,2,2,1,1,1,500,0,0,0,0
183,np_hypot,2,2,2,1,1,500,500,468,468,376
184,np_hypot,2,2,3,1,1,500,500,471,471,372
185,np_hypot,2,3,1,1,1,500,0,0,0,0
186,np_hypot,2,3,2,1,1,500,500,464,464,366
187,np_hypot,2,3,3,1,1,500,500,462,462,388
188,np_hypot,3,1,1,1,1,500,269,8,8,8
189,np_hypot,3,1,1,1,2,500,4,0,0,0
190,np_log10,2,1,2,1,1,500,500,125,125,54
191,np_log10,2,1,3,1,1,500,500,136,136,48
192,np_log10,2,2,1,1,1,500,492,7,7,3
193,np_log10,2,2,2,1,1,500,500,170,169,53
194,np_log10,2,2,3,1,1,500,500,146,146,62
195,np_log10,2,3,1,1,1,500,494,0,0,0
196,np_log10,2,3,2,1,1,500,500,119,119,30
197,np_log10,2,3,3,1,1,500,500,122,122,33
198,np_log10,3,1,1,1,1,500,500,56,56,26
199,np_log10,3,1,1,1,2,500,498,42,42,19
200,np_log1p,2,1,2,1,1,500,500,158,157,70
201,np_log1p,2,1,3,1,1,500,500,163,163,76
202,np_log1p,2,2,1,1,1,500,383,0,0,0
203,np_log1p,2,2,2,1,1,500,500,170,170,72
204,np_log1p,2,2,3,1,1,500,500,178,178,69
205,np_log1p,2,3,1,1,1,500,382,0,0,0
206,np_log1p,2,3,2,1,1,500,500,124,124,40
207,np_log1p,2,3,3,1,1,500,500,120,120,33
208,np_log1p,3,1,1,1,1,500,500,66,66,27
209,np_log1p,3,1,1,1,2,500,477,29,29,26
210,np_log,2,1,2,1,1,500,500,150,150,53
211,np_log,2,1,3,1,1,500,500,127,127,49
212,np_log,2,2,1,1,1,500,410,0,0,0
213,np_log,2,2,2,1,1,500,500,151,151,46
214,np_log,2,2,3,1,1,500,500,134,134,50
215,np_log,2,3,1,1,1,500,419,0,0,0
216,np_log,2,3,2,1,1,500,500,97,97,31
217,np_log,2,3,3,1,1,500,500,105,105,27
218,np_log,3,1,1,1,1,500,500,53,53,18
219,np_log,3,1,1,1,2,500,443,7,7,7
220,np_max,2,1,2,1,1,500,500,495,495,392
221,np_max,2,1,3,1,1,500,500,493,493,384
222,np_max,2,2,1,1,1,500,0,0,0,0
223,np_max,2,2,2,1,1,500,500,430,430,343
224,np_max,2,2,3,1,1,500,500,430,430,351
225,np_max,2,3,1,1,1,500,0,0,0,0
226,np_max,2,3,2,1,1,500,500,444,444,344
227,np_max,2,3,3,1,1,500,500,445,445,355
228,np_max,3,1,1,1,1,500,450,315,315,256
229,np_max,3,1,1,1,2,500,49,0,0,0
230,np_min,2,1,2,1,1,500,500,494,494,381
231,np_min,2,1,3,1,1,500,500,494,494,381
232,np_min,2,2,1,1,1,500,0,0,0,0
233,np_min,2,2,2,1,1,500,500,427,427,289
234,np_min,2,2,3,1,1,500,500,432,432,303
235,np_min,2,3,1,1,1,500,0,0,0,0
236,np_min,2,3,2,1,1,500,500,416,416,318
237,np_min,2,3,3,1,1,500,500,421,421,336
238,np_min,3,1,1,1,1,500,451,342,342,288
239,np_min,3,1,1,1,2,500,44,1,1,1
240,np_round,2,1,2,1,1,500,500,493,493,150
241,np_round,2,1,3,1,1,500,500,495,495,157
242,np_round,2,2,1,1,1,500,0,0,0,0
243,np_round,2,2,2,1,1,500,500,447,446,138
244,np_round,2,2,3,1,1,500,500,450,447,116
245,np_round,2,3,1,1,1,500,0,0,0,0
246,np_round,2,3,2,1,1,500,500,442,442,99
247,np_round,2,3,3,1,1,500,500,453,451,103
248,np_round,3,1,1,1,1,500,163,48,48,32
249,np_round,3,1,1,1,2,500,3,0,0,0
250,np_sinh,2,1,2,1,1,500,500,499,499,154
251,np_sinh,2,1,3,1,1,500,500,499,496,183
252,np_sinh,2,2,1,1,1,500,0,0,0,0
253,np_sinh,2,2,2,1,1,500,500,410,406,115
254,np_sinh,2,2,3,1,1,500,500,436,432,108
255,np_sinh,2,3,1,1,1,500,0,0,0,0
256,np_sinh,2,3,2,1,1,500,500,421,419,100
257,np_sinh,2,3,3,1,1,500,500,421,419,109
258,np_sinh,3,1,1,1,1,500,99,68,68,30
259,np_sinh,3,1,1,1,2,500,0,0,0,0
260,np_sin,2,1,2,1,1,500,500,500,497,109
261,np_sin,2,1,3,1,1,500,500,500,500,110
262,np_sin,2,2,1,1,1,500,0,0,0,0
263,np_sin,2,2,2,1,1,500,500,499,499,95
