
asinh, mutant_34, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_35, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_36, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_37, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_38, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_39, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_40, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_41, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 0, 
asinh, mutant_42, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_43, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_44, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_45, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_46, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_47, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 1, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 0, 
